Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Building Permit Number,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2008-009,(6) Complete,"HPSY I, Block 50",547,Donahue,St,94124,4591C,"265, 266",10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,,,12/29/2009,05/10/2010,05/10/2010,04/27/2016,Lennar Urban,,,Not Applicable,,,,,200907223200,25,3,22,12,,,,3,,,,,,,3,,,,,,,,,,,,,3,,,,,,,,,37.72838119,-122.3701996,"(37.728381185, -122.370199597999)"
2013-044,(6) Complete,Mission Dolores,1855,15th,St,94103,3556,276,8,Mission,Mission,MOHCD,Rental Assistance Demonstration Program (RAD),,Rehabilitation,Rental,10/12/2016,11/07/2016,05/16/2016,11/03/2016,11/03/2016,09/19/2018,BRIDGE Housing Corporation,Mission Economic Development Agency,"Bridge Housing Ventures, Inc, MEDA Housing LLC",2015-012300PRJ,http://propertymap.sfplanning.org/?search=2015-012300PRJ,2015-012300ENV,,,201510301342,91,90,1,99,,68,22,,,,,11,1,1bd,,90,,,,,,,,,90,,,,,,,,,,,,37.76601731,-122.4255733,"(37.766017308, -122.425573258999)"
2014-032,(6) Complete,Britton Courts (1250 Sunnydale Ave),171,Loehr,St,94134,6300,43,10,Visitacion Valley,Visitacion Valley,MOHCD,Bond Financed Multifamily Housing,,Rehabilitation,Rental,,12/01/2017,,,12/01/2017,12/01/2018,Mercy Housing California,,"Mercy Housing California 74, LP",Not Applicable,,,,,,92,91,1,99,,,,62,21,8,,,1,2bd,91,,,,,,,,,,46,,45,,,,,,,,,,37.7117163,-122.413358,"(37.711716304, -122.413358024999)"
2015-014,(6) Complete,380 San Jose,380,San Jose,Ave,94110,6532,34,8,Mission,Mission,MOHCD,Small Sites Program,,Rehabilitation,Rental,01/22/2016,08/24/2016,,,08/24/2016,06/01/2017,Mission Economic Development Agency,,"MEDA Small Properties, LLC",Not Applicable,,,,,,4,4,,100,,,4,,,,,,,,4,,,,,,,,,,,,,4,,,,,,,,,37.7491899,-122.4216413,"(37.7491899, -122.421641288999)"
2015-031,(5) First Construction Document Issued,361 Turk,361,Turk,St,94102,345,17,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,12/07/2018,02/04/2020,02/04/2020,03/30/2022,"Forge Land Company, LLC",,,2012.1531,http://propertymap.sfplanning.org/?search=2012.1531,,07/09/2015,On-site BMR Project,,137,16,121,12,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,37.78251,-122.41489,"(37.78251, -122.41489)"
2016-026,(1) Preliminary Phase,"HPSY, Block 1 (Ownership)",,Address not yet assigned,,94124,4591C,2,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,,07/01/2021,,,07/01/2021,12/23/2022,,,,Not Applicable,,,,,,50,6,44,12,,,,,,,,,,,6,,,,,,,,,,,,,6,,,,,,,,,37.72949706,-122.3702246,"(37.729497063, -122.370224646999)"
2016-075,(6) Complete,3329-3331 20th,3329-3331,20th,St,94110,3611,60,9,Mission,Mission,MOHCD,Small Sites Program,,Rehabilitation,Rental,11/30/2016,11/02/2017,,,11/02/2017,05/01/2018,Mission Economic Development Agency,,"MEDA Small Properties, LLC",Not Applicable,,,,,,10,10,,100,,4,6,,,,,,,,10,,,,,,,,,,,,,10,,,,,,,,,37.75863498,-122.4153866,"(37.758634976, -122.415386597999)"
2017-044,(6) Complete,606 Capp,606,Capp,St,94110,3615,55,9,Mission,Mission,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,05/02/2018,06/05/2018,06/05/2018,04/08/2019,606 Capp St LLC,,,2015-010361PRJ,http://propertymap.sfplanning.org/?search=2015-010361PRJ,"2015-010361CND,2015-010361ENV,2015-010361PPA,2015-010361TDM",11/18/2017,Fee Payment,201606291227,20,,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.75673508,-122.4180919,"(37.756735075, -122.418091889999)"
2010-016,(6) Complete,2559 Van Ness  & 1527 Filbert,2559,Van Ness,Ave,94109,527,"052, 053",2,Marina,Marina,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,03/01/2013,05/31/2013,05/31/2013,11/25/2014,1501 Filbert LLP,,,2009.0335,http://propertymap.sfplanning.org/?search=2009.0335,"2009.0335C,2009.0335E,2009.0335K,2009.0335S,2009.0335V",10/07/2010,Fee Payment,201106017181,27,,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.79920474,-122.4245247,"(37.79920474, -122.424524657999)"
2016-120,(6) Complete,269-271 Richland,269,Richland,Ave,94110,5720,10,9,Bernal Heights,Bernal Heights,MOHCD,Small Sites Program,,Rehabilitation,Rental,03/10/2017,01/15/2018,,,01/15/2018,08/30/2018,Mission Economic Development Agency,,"MEDA Small Properties, LLC",Not Applicable,,,,,,6,6,,100,,3,3,,,,,,,,6,,,,,,,,,,,,,6,,,,,,,,,37.73604607,-122.421133,"(37.736046066, -122.421132973999)"
