city_analysis_neighborhood,planning_neighborhood_original,adopted_plans_projects,plans_projects_underway
mission,Balboa Park Area Plan,1800,0
tenderloin,Market/Octavia Area Plan,6000,0
mission_bay,Central Waterfront Area Plan,2000,0
mission,Mission Area Plan,1700,0
south_of_market,East SOMA Area Plan,2900,0
portrero_hill,Showplace Square/Potrero Hill Area Plan,3200,0
south_of_market,Rincon Hill Area Plan,4100,0
visitacion_valley,Visitacion Valley Redevelopment Plan,1680,0
financial_district_south_beach,Transbay Redevelopment Plan,1350,0
financial_district_south_beach,Mission Bay Redevelopment Plan,6090,0
bayview_hunters_point,Hunters Point Shipyard/ Candlestick Point,10500,0
bayview_hunters_point,Executive Park,0,1600
twin_peaks,Glen Park,0,100
lakeshore ,Parkmerced,0,5600
financial_district_south_beach,Transit Center District,0,1200
south_of_market,West SOMA,0,2700
treasure_island,Treasure Island,0,8000
